name,price,url
Диван угловой Аронт Мини Velvet Light,56990,https://www.divan.ru/product/divan-uglovoj-aront-mini-velvet-light
Диван угловой Шера Velvet Olive,99990,https://www.divan.ru/product/divan-uglovoj-shera-velvet-olive
Диван Тут Рядом Дом Розовый,72990,https://www.divan.ru/product/divan-tut-ryadom-dom-rozovyj
Диван угловой Лаберт Barhat Smoke,99990,https://www.divan.ru/product/divan-uglovoj-labert-barhat-smoke
Диван угловой Шера Velvet Terra,99990,https://www.divan.ru/product/divan-uglovoj-shera-velvet-terra
Диван Самми Velvet Grey,27990,https://www.divan.ru/product/divan-sammi-velvet-grey
Диван угловой Аронт Мини Velvet Smoke,56990,https://www.divan.ru/product/divan-uglovoj-aront-mini-velvet-smoke
Диван Массе Bucle White,66990,https://www.divan.ru/product/divan-masse-bucle-white
Диван Тут Рядом Космос Серый,109990,https://www.divan.ru/product/divan-tut-ryadom-kosmos-seryj
Диван Бонс-Т Velvet Mint,42990,https://www.divan.ru/product/divan-bons-t-velvet-mint
Диван Мейлон Velvet Beige,46990,https://www.divan.ru/product/divan-mejlon-velvet-beige
Модульный диван Нолан-W 1 Soft Milk,73980,https://www.divan.ru/product/modulnyj-divan-nolan-w-1-soft-milk
Диван Массе Velvet Light,59990,https://www.divan.ru/product/divan-masse-velvet-light
Модульный диван Риббл-3 Bucle Forest,153970,https://www.divan.ru/product/modulnyj-divan-ribbl-3-bucle-forest
Диван Мисл Barhat Mint,74990,https://www.divan.ru/product/divan-misl-barhat-mint
Диван Коренс Bucle White,35990,https://www.divan.ru/product/divan-korens-bucle-white
Модульный диван Этен 5 Vertical Silver,77960,https://www.divan.ru/product/modulnyj-divan-eten-5-vertical-silver
Диван угловой Мейлон Velvet Beige,49990,https://www.divan.ru/product/divan-uglovoj-mejlon-velvet-beige
Модульный диван Нолан-B 1 Soft Milk,73980,https://www.divan.ru/product/modulnyj-divan-nolan-b-1-soft-milk
Диван Роттердам-3 Velvet Silver,30990,https://www.divan.ru/product/divan-rotterdam-3-velvet-silver
Диван угловой Шера Velvet Blue,99990,https://www.divan.ru/product/divan-uglovoj-shera-velvet-blue
Диван Талас Velvet Smoke,44990,https://www.divan.ru/product/divan-talas-velvet-smoke
